Symbol,Buy,Sell,Net,Timestamp
BTC/USDT,1246.9306516288664,1337.1421543032993,-90.21150267443295,2025-10-05 20:38:16
ETH/USDT,46377.96980223399,55539.155058116005,-9161.185255882017,2025-10-05 20:38:16
BNB/USDT,1572.2165799999998,1681.77712,-109.56054000000017,2025-10-05 20:38:16
XRP/USDT,4519465.212286091,5827934.015329138,-1308468.803043047,2025-10-05 20:38:16
SOL/USDT,68118.299224724,78303.55522277599,-10185.255998051987,2025-10-05 20:38:16
DOGE/USDT,18905244.3907392,22181616.97953106,-3276372.588791862,2025-10-05 20:38:16
ADA/USDT,6305220.832610141,8222593.323915209,-1917372.4913050681,2025-10-05 20:38:16
TRX/USDT,1901258.692,2216720.268,-315461.5760000001,2025-10-05 20:38:16
AVAX/USDT,72273.965575302,87992.148916868,-15718.183341565993,2025-10-05 20:38:16
DOT/USDT,181797.02296,215589.21704000002,-33792.194080000016,2025-10-05 20:38:16
LINK/USDT,117626.28599998,139668.70204997,-22042.416049989988,2025-10-05 20:38:16
SUI/USDT,746951.456143852,904324.5342157781,-157373.07807192614,2025-10-05 20:38:16
SHIB/USDT,118054937023.34315,125784149067.00137,-7729212043.658218,2025-10-05 20:38:16
LTC/USDT,39394.746,44627.174000000006,-5232.428000000007,2025-10-05 20:38:16
ATOM/USDT,41836.05434,44188.63406,-2352.5797199999943,2025-10-05 20:38:16
XLM/USDT,1848708.706,2421611.8940000003,-572903.1880000003,2025-10-05 20:38:16
UNI/USDT,140326.92986,179213.64493999997,-38886.715079999965,2025-10-05 20:38:16
ICP/USDT,43825.19694,52904.88426,-9079.687319999997,2025-10-05 20:38:16
APT/USDT,122420.972467008,106208.280200512,16212.692266496,2025-10-05 20:38:16
NEAR/USDT,677905.6688999999,820352.4149000001,-142446.74600000016,2025-10-05 20:38:16
AAPL,49107000.0,0.0,49107000.0,2025-10-05 20:38:16
MSFT,15104200.0,0.0,15104200.0,2025-10-05 20:38:16
GOOG,19935800.0,0.0,19935800.0,2025-10-05 20:38:16
GC=F,0.0,0.0,0.0,2025-10-05 20:38:16
CL=F,0.0,0.0,0.0,2025-10-05 20:38:16
TSLA,0.0,132772600.0,-132772600.0,2025-10-05 20:38:16
NVDA,0.0,137340500.0,-137340500.0,2025-10-05 20:38:16
BTC/USDT,1108.5033388628665,1118.1037104992995,-9.60037163643301,2025-10-05 21:14:41
ETH/USDT,42738.968697134,49189.337829216005,-6450.369132082007,2025-10-05 21:14:41
BNB/USDT,1511.1282800000001,1504.03182,7.0964600000002065,2025-10-05 21:14:41
XRP/USDT,4134925.11654,5153013.182259999,-1018088.0657199994,2025-10-05 21:14:41
SOL/USDT,62373.65796710001,68629.37733634001,-6255.719369240003,2025-10-05 21:14:41
